id_cliente,cancelamento,genero,idoso,possui_conjuge,possui_dependentes,meses_como_cliente,servico_telefonico,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_online,metodo_pagamento,custo_mensal,custo_total,contas_diarias
0093-XWZFY,1,1,0,0,0,40,1,1,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.0,3.4833333333333334
0094-OIFMO,1,0,1,0,0,11,1,0,Fiber optic,No,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.0,3.1666666666666665
0096-BXERS,0,0,0,1,0,6,1,1,DSL,No,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.0,1.6783333333333335
0096-FCPUF,0,1,0,0,0,30,1,1,DSL,Yes,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.0,2.15
0098-BOWSO,0,1,0,0,0,27,1,0,No,No internet service,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.0,0.6466666666666666
0100-DUVFC,0,1,1,1,0,70,1,1,Fiber optic,No,1,1,0,1,1,One year,1,Electronic check,104.8,7308.0,3.493333333333333
0103-CSITQ,0,0,0,1,0,57,1,1,Fiber optic,No,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.0,3.646666666666667
0104-PPXDV,0,1,0,1,0,58,1,0,DSL,No,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.0,1.6766666666666665
0106-GHRQR,0,1,0,0,0,16,1,1,DSL,No,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.0,2.3800000000000003
0106-UGRDO,0,0,0,1,0,69,1,1,Fiber optic,Yes,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.0,3.8666666666666667
0107-WESLM,1,1,0,0,0,1,1,0,No,No internet service,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.0,0.6616666666666667
0107-YHINA,1,1,0,0,1,1,1,1,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.0,3.325
0111-KLBQG,0,1,1,1,1,32,1,0,Fiber optic,No,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.0,3.131666666666667
0112-QAWRZ,0,1,0,1,1,16,1,1,Fiber optic,No,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.0,3.0266666666666664
0112-QWPNC,1,1,0,1,0,49,1,1,DSL,Yes,0,1,1,1,1,One year,0,Electronic check,84.35,4059.0,2.8116666666666665
0114-IGABW,0,0,0,1,0,71,0,0,DSL,No,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.0,1.9416666666666667
0114-PEGZZ,0,0,0,0,0,33,1,1,Fiber optic,No,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.0,3.585
0114-RSRRW,0,0,0,1,0,10,1,0,No,No internet service,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187.0,0.6649999999999999
0115-TFERT,1,1,0,1,0,21,1,1,Fiber optic,No,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.0,3.7066666666666666
0117-LFRMW,1,1,0,1,1,37,0,0,DSL,Yes,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.0,1.34
0118-JPNOY,0,0,1,0,0,26,1,0,Fiber optic,Yes,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.0,2.86
0120-YZLQA,0,1,0,0,0,71,1,0,No,No internet service,0,0,0,0,0,Two year,1,Credit card (automatic),19.9,1355.0,0.6633333333333333
0121-SNYRK,0,1,0,0,0,50,0,0,DSL,Yes,0,0,1,0,0,One year,1,Mailed check,35.4,1748.0,1.18
0122-OAHPZ,1,0,0,0,0,7,1,1,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.0,2.4616666666666664
0123-CRBRT,0,0,0,1,1,61,1,1,DSL,Yes,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.0,2.9366666666666665
0125-LZQXK,1,1,0,0,0,15,1,0,Fiber optic,No,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.0,3.378333333333333
0128-MKWSG,0,0,0,0,1,26,0,0,DSL,Yes,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,1.5266666666666666
0129-KPTWJ,0,1,0,1,0,72,1,0,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.0,3.1550000000000002
0129-QMPDR,0,1,0,1,1,44,1,0,No,No internet service,0,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865.0,0.6833333333333333
0130-SXOUN,0,1,0,0,0,66,1,1,Fiber optic,No,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.0,2.98
0133-BMFZO,1,0,0,0,0,2,1,0,Fiber optic,Yes,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.0,2.875
0134-XWXCE,0,0,1,0,0,44,1,0,DSL,No,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.0,2.4949999999999997
0135-NMXAP,1,0,0,0,0,12,1,1,Fiber optic,No,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.0,2.9916666666666667
0136-IFMYD,0,1,1,1,0,69,1,1,Fiber optic,No,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.0,3.665
0137-OCGAB,1,0,0,0,0,1,1,1,Fiber optic,No,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.0,2.6733333333333333
0137-UDEUO,1,0,0,0,0,3,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,63.0,0.6616666666666667
0139-IVFJG,0,0,0,1,0,2,1,0,Fiber optic,Yes,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.0,3.0116666666666663
0141-YEAYS,0,0,1,0,0,27,1,1,Fiber optic,No,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.0,2.881666666666667
0142-GVYSN,0,1,0,0,0,26,1,0,No,No internet service,0,0,0,0,0,Month-to-month,1,Electronic check,20.3,511.0,0.6766666666666666
0147-ESWWR,0,0,1,1,0,39,1,1,Fiber optic,No,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.0,3.375
0148-DCDOS,1,1,0,0,0,25,1,1,Fiber optic,No,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.0,3.1566666666666667
0151-ONTOV,1,0,0,0,0,1,1,0,Fiber optic,No,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.0,2.3633333333333337
0154-QYHJU,0,1,0,0,0,29,1,0,DSL,Yes,1,0,1,0,0,One year,1,Electronic check,58.75,1696.0,1.9583333333333333
0156-FVPTA,1,1,0,1,0,22,1,0,DSL,Yes,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.0,1.8066666666666669
0162-RZGMZ,0,0,1,0,0,5,1,0,DSL,Yes,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.0,1.9966666666666666
0164-APGRB,0,0,0,0,0,72,1,1,Fiber optic,Yes,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.0,3.83
0164-XAIRP,0,0,0,0,0,24,1,0,No,No internet service,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470.0,0.6516666666666667
0168-XZKBB,0,0,0,1,0,19,1,1,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.0,2.895
0174-QRVVY,0,1,0,1,1,71,1,1,No,No internet service,0,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847.0,0.8450000000000001
0177-PXBAT,0,1,1,1,0,33,1,1,Fiber optic,Yes,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.0,3.6633333333333336
0178-CIIKR,0,0,0,0,0,3,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,58.0,0.6649999999999999
0178-SZBHO,0,1,0,1,1,47,1,1,Fiber optic,No,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.0,2.9066666666666667
0181-RITDD,0,1,0,1,1,62,1,0,Fiber optic,Yes,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.0,3.605
0186-CAERR,0,1,0,0,0,71,1,1,Fiber optic,Yes,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.0,3.8766666666666665
0187-QSXOE,0,1,1,1,0,7,1,0,Fiber optic,No,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.0,2.966666666666667
0187-WZNAB,0,0,0,1,1,27,1,0,Fiber optic,Yes,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.0,2.48
0188-GWFLE,0,1,0,0,0,2,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,20.05,33.0,0.6683333333333333
0191-EQUUH,0,0,0,0,1,25,0,0,DSL,Yes,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.0,1.1683333333333332
0191-ZHSKZ,0,1,1,0,0,30,1,0,DSL,Yes,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.0,2.4916666666666667
0193-ESZXP,1,0,1,1,0,58,1,0,Fiber optic,Yes,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.0,3.5166666666666666
0195-IESCP,1,1,0,1,0,10,1,1,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.0,2.841666666666667
0196-JTUQI,0,0,0,0,0,9,1,1,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.0,2.506666666666667
0196-VULGZ,1,0,1,1,0,6,1,1,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.0,2.8116666666666665
0197-PNKNK,0,0,0,1,1,69,1,1,Fiber optic,Yes,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.0,2.815
0201-MIBOL,0,0,1,0,0,66,1,1,Fiber optic,Yes,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.0,3.4133333333333336
0201-OAMXR,1,0,0,0,0,70,1,1,Fiber optic,Yes,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.0,3.8516666666666666
0203-HHYIJ,1,1,0,0,0,25,1,1,No,No internet service,0,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676.0,0.8433333333333334
0206-OYVOC,0,0,0,1,1,46,1,0,No,No internet service,0,0,0,0,0,Two year,1,Mailed check,19.25,864.0,0.6416666666666667
0206-TBWLC,0,0,0,1,0,54,1,1,Fiber optic,Yes,1,1,1,1,1,One year,1,Mailed check,114.65,6049.0,3.8216666666666668
0207-MDKNV,1,0,0,0,0,15,1,0,Fiber optic,Yes,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.0,3.503333333333333
0208-BPQEJ,0,0,0,1,1,12,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198.0,0.6466666666666666
0212-ISBBF,0,0,0,0,0,22,0,0,DSL,No,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.0,1.6783333333333335
0214-JHPFW,0,0,0,1,0,70,0,0,DSL,No,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.0,1.9266666666666665
0215-BQKGS,0,1,0,0,0,30,1,0,Fiber optic,Yes,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.0,2.81
0218-QNVAS,0,1,0,1,1,71,1,1,Fiber optic,No,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.0,3.3516666666666666
0219-QAERP,0,1,0,1,0,30,1,0,No,No internet service,0,0,0,0,0,One year,0,Credit card (automatic),19.8,576.0,0.66
0219-YTZUE,1,1,0,1,1,4,1,1,Fiber optic,No,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.0,2.8266666666666667
0220-EBGCE,1,1,0,0,0,2,1,0,Fiber optic,No,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.0,2.8616666666666664
0221-NAUXK,0,1,0,0,1,10,1,0,No,No internet service,0,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219.0,0.6649999999999999
0221-WMXNQ,0,1,1,0,0,4,1,0,Fiber optic,Yes,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.0,2.5116666666666663
0222-CNVPT,0,1,1,0,0,52,0,0,DSL,Yes,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.0,1.6266666666666665
0224-HJAPT,1,1,0,0,0,5,1,1,DSL,No,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.0,1.5716666666666665
0224-NIJLP,0,1,0,1,1,8,1,0,No,No internet service,0,0,0,0,0,Two year,0,Mailed check,20.15,165.0,0.6716666666666666
0224-RLWWD,0,0,1,0,0,2,1,0,DSL,No,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.0,1.4766666666666666
0225-ZORZP,0,1,0,0,0,3,1,0,Fiber optic,No,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.0,2.81
0228-MAUWC,0,1,0,0,0,19,1,1,DSL,No,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.0,1.9849999999999999
0229-LFJAF,0,1,0,0,0,72,1,1,DSL,Yes,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.0,2.3216666666666668
0230-UBYPQ,0,1,1,1,0,63,0,0,DSL,Yes,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.0,1.2033333333333334
0230-WEQUW,0,1,0,1,0,66,0,0,DSL,Yes,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.0,1.8866666666666667
0231-LXVAP,1,1,0,0,0,1,1,0,Fiber optic,No,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.0,2.5300000000000002
0233-FTHAV,0,0,0,0,0,60,1,1,Fiber optic,No,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,2.64
0234-TEVTT,0,0,0,1,1,48,0,0,DSL,Yes,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.0,1.5
0235-KGSLC,1,0,0,0,0,1,1,0,Fiber optic,No,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.0,2.8516666666666666
0236-HFWSV,1,1,0,0,0,15,1,1,Fiber optic,No,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.0,3.1116666666666664
0237-YFUTL,0,0,0,1,0,50,1,1,Fiber optic,Yes,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.0,3.6550000000000002
0238-WHBIQ,0,1,0,1,1,72,1,1,DSL,Yes,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.0,2.99
0239-OXEXL,0,0,0,0,0,46,1,1,Fiber optic,Yes,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.0,2.808333333333333
0244-LGNFY,0,0,0,1,1,72,1,1,DSL,Yes,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,3.0883333333333334
0247-SLUJI,0,1,0,1,1,1,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,19.0,0.6566666666666666
0248-IPDFW,0,0,0,0,0,1,1,1,DSL,No,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.0,1.6700000000000002
0248-PGHBZ,0,0,1,0,0,67,1,0,Fiber optic,Yes,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.0,3.0816666666666666
0253-ZTEOB,0,0,0,1,1,48,1,1,DSL,No,1,0,1,1,1,Two year,0,Electronic check,79.65,3870.0,2.6550000000000002
0254-FNMCI,0,0,0,0,0,72,1,0,Fiber optic,Yes,1,1,1,1,1,Two year,1,Electronic check,109.9,7624.0,3.6633333333333336
0254-KCJGT,0,1,0,1,0,52,1,1,DSL,Yes,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.0,2.7133333333333334
0254-WWRKD,0,0,0,1,1,67,1,0,DSL,No,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.0,1.6849999999999998
0256-LTHVJ,1,0,0,1,1,28,1,0,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.0,2.7016666666666667
0257-KXZGU,0,0,0,1,1,32,1,1,DSL,No,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.0,2.0816666666666666
0257-ZESQC,1,0,1,1,0,27,1,0,Fiber optic,Yes,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.0,2.506666666666667
0258-NOKBL,0,1,0,0,0,3,1,0,Fiber optic,No,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,268.0,3.0133333333333336
0259-GBZSH,1,1,0,0,0,2,1,1,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.0,2.855
0260-ZDLGK,1,0,0,0,1,9,1,0,DSL,No,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,651.0,2.43
0263-FJTQO,0,1,0,1,1,50,1,1,DSL,Yes,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486.0,2.35
0264-CNITK,0,0,0,1,1,71,1,0,No,No internet service,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.1,1389.0,0.67
0265-EDXBD,1,1,1,1,0,32,1,1,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.0,2.496666666666667
0265-PSUAE,0,0,0,1,1,16,1,0,Fiber optic,Yes,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522.0,3.356666666666667
0266-CLZKZ,0,0,0,1,1,67,1,1,Fiber optic,No,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717.0,3.521666666666667
0266-GMEAO,0,1,0,1,1,72,1,1,Fiber optic,Yes,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058.0,3.81
0268-QKIWO,1,0,0,0,0,3,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Electronic check,19.75,58.0,0.6583333333333333
0269-XFESX,0,1,0,1,1,23,1,1,No,No internet service,0,0,0,0,0,One year,0,Mailed check,24.35,538.0,0.8116666666666668
0270-THENM,0,1,0,1,1,72,1,1,DSL,Yes,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,5102.0,2.328333333333333
0274-JKUJR,0,1,0,1,1,7,0,0,DSL,Yes,1,1,0,1,1,Month-to-month,0,Mailed check,58.85,465.0,1.9616666666666667
0274-VVQOQ,0,1,1,1,0,65,1,1,Fiber optic,No,1,1,0,1,1,One year,1,Bank transfer (automatic),103.15,6792.0,3.4383333333333335
0277-BKSQP,0,1,0,1,1,8,1,0,DSL,No,0,0,0,1,0,Month-to-month,1,Electronic check,54.4,475.0,1.8133333333333332
0277-ORXQS,0,1,0,1,1,66,0,0,DSL,No,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3364.0,1.6849999999999998
0278-YXOOG,1,1,0,0,0,5,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.0,0.7016666666666667
0280-XJGEX,1,1,0,0,0,49,1,1,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.0,3.4566666666666666
0281-CNTZX,0,1,0,1,0,63,1,0,No,No internet service,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.95,1234.0,0.6649999999999999
